bike_id,driver_id,trip_id,sensor_ts,latitude,longitude,speed_kmh,heading,accel_x,accel_y,accel_z,engine_state
MK003,DRV03,TRIP015,2026-03-25 18:51:39,0.335074,32.569222,24.81,247.94,-0.273,-0.334,0.001,idle
MK001,DRV02,TRIP005,2026-03-25 18:51:44,0.335464,32.568872,31.73,34.74,-0.454,-0.061,0.164,on
MK004,DRV03,TRIP020,2026-03-25 18:51:49,0.33498,32.568471,34.76,126.82,-2.634,-0.699,0.048,idle
MK003,DRV04,TRIP005,2026-03-25 18:51:54,0.334732,32.568051,32.34,25.94,-0.176,0.019,0.121,on
MK001,DRV01,TRIP011,2026-03-25 18:51:59,0.335403,32.569283,16.39,273.94,0.254,0.099,0.191,on
MK003,DRV01,TRIP002,2026-03-25 18:52:04,0.334912,32.568226,9.62,297.75,-0.056,0.251,0.03,idle
MK004,DRV03,TRIP019,2026-03-25 18:52:09,0.334093,32.567683,9.81,288.18,0.462,-0.082,0.17,idle
MK002,DRV04,TRIP010,2026-03-25 18:52:14,0.334974,32.568805,23.88,69.39,-0.052,-0.455,0.018,on
MK002,DRV03,TRIP007,2026-03-25 18:52:19,0.334572,32.568283,39.99,251.94,-3.015,-0.414,0.098,on
MK003,DRV02,TRIP018,2026-03-25 18:52:24,0.334989,32.569337,22.52,4.26,-0.45,-0.168,-0.049,idle
MK004,DRV04,TRIP019,2026-03-25 18:52:29,0.334875,32.568374,16.47,128.9,-3.322,-0.403,-0.145,idle
MK003,DRV03,TRIP007,2026-03-25 18:52:34,0.334016,32.568215,36.14,173.45,0.294,0.469,0.083,idle
MK004,DRV04,TRIP016,2026-03-25 18:52:39,0.334573,32.568147,30.77,262.01,-2.975,-0.607,0.075,on
MK004,DRV03,TRIP004,2026-03-25 18:52:44,0.334765,32.567705,17.13,119.46,-0.24,-0.064,0.162,idle
MK004,DRV01,TRIP009,2026-03-25 18:52:49,0.33457,32.56815,13.72,275.66,-0.028,-0.291,-0.12,idle
MK001,DRV04,TRIP019,2026-03-25 18:52:54,0.335485,32.568896,24.68,316.98,0.136,0.158,0.015,on
MK004,DRV01,TRIP011,2026-03-25 18:52:59,0.334613,32.568839,10.74,148.31,-0.432,-0.079,0.117,idle
MK001,DRV02,TRIP016,2026-03-25 18:53:04,0.335286,32.568677,35.38,44.14,0.282,-0.232,0.126,on
MK002,DRV04,TRIP006,2026-03-25 18:53:09,0.33481,32.56936,41.92,303.65,0.18,-0.379,0.104,on
MK003,DRV03,TRIP013,2026-03-25 18:53:14,0.334824,32.568321,15.23,54.19,0.097,-0.326,0.056,on
MK004,DRV04,TRIP007,2026-03-25 18:53:19,0.334325,32.568101,11.89,67.89,0.364,0.1,0.097,on
MK001,DRV03,TRIP010,2026-03-25 18:53:24,0.334895,32.568646,16.48,249.24,-0.172,-0.311,-0.144,idle
MK003,DRV02,TRIP007,2026-03-25 18:53:29,0.335091,32.56887,33.6,347.09,0.191,-0.496,-0.035,on
MK003,DRV04,TRIP004,2026-03-25 18:53:34,0.3343,32.56765,34.43,288.01,0.064,0.277,0.085,idle
MK001,DRV03,TRIP014,2026-03-25 18:53:39,0.335417,32.56915,39.72,337.2,-0.283,0.326,0.111,idle
MK002,DRV03,TRIP011,2026-03-25 18:53:44,0.335103,32.56878,8.87,13.66,-0.011,0.3,-0.145,idle
MK003,DRV03,TRIP007,2026-03-25 18:53:49,0.33548,32.569262,24.81,109.21,-3.256,-0.55,-0.107,idle
MK001,DRV01,TRIP008,2026-03-25 18:53:54,0.334611,32.568608,5.19,300.43,0.441,0.241,-0.049,idle
MK004,DRV02,TRIP002,2026-03-25 18:53:59,0.335502,32.569222,7.21,81.56,-0.435,0.452,-0.153,on
MK004,DRV03,TRIP012,2026-03-25 18:54:04,0.335332,32.568987,7.68,178.03,0.322,-0.437,0.186,idle
MK001,DRV02,TRIP020,2026-03-25 18:54:09,0.334551,32.568188,25.51,36.88,-0.103,0.416,-0.06,on
MK003,DRV03,TRIP015,2026-03-25 18:54:14,0.334814,32.568091,12.98,216.38,0.301,0.49,-0.14,on
MK003,DRV01,TRIP019,2026-03-25 18:54:19,0.334236,32.568046,31.14,336.18,-0.165,0.34,-0.154,on
MK001,DRV01,TRIP010,2026-03-25 18:54:24,0.334722,32.568825,38.41,262.41,-0.126,0.402,0.167,on
MK002,DRV04,TRIP014,2026-03-25 18:54:29,0.334541,32.568161,5.07,89.6,-0.289,0.249,-0.165,on
MK004,DRV02,TRIP002,2026-03-25 18:54:34,0.334732,32.568493,7.84,355.81,0.337,0.423,-0.16,on
MK001,DRV03,TRIP016,2026-03-25 18:54:39,0.334685,32.56832,42.28,142.94,0.092,-0.473,0.16,on
MK004,DRV02,TRIP013,2026-03-25 18:54:44,0.33434,32.56834,31.85,173.28,0.364,-0.283,-0.199,idle
MK003,DRV03,TRIP008,2026-03-25 18:54:49,0.335001,32.56824,5.6,340.95,0.41,0.307,0.193,on
MK002,DRV01,TRIP018,2026-03-25 18:54:54,0.335166,32.569121,33.15,108.09,-0.05,0.382,-0.198,on
MK002,DRV04,TRIP001,2026-03-25 18:54:59,0.334514,32.568791,42.83,49.46,-3.486,-0.605,0.098,idle
MK001,DRV02,TRIP010,2026-03-25 18:55:04,0.334294,32.568557,6.79,212.89,0.227,-0.406,0.161,idle
MK004,DRV02,TRIP009,2026-03-25 18:55:09,0.33511,32.568399,14.0,74.45,0.113,-0.026,0.102,idle
MK001,DRV04,TRIP005,2026-03-25 18:55:14,0.334502,32.568453,18.43,285.42,-2.915,-0.923,-0.199,idle
MK001,DRV03,TRIP017,2026-03-25 18:55:19,0.334687,32.56843,13.09,244.96,-0.187,-0.067,0.04,idle
MK004,DRV01,TRIP013,2026-03-25 18:55:24,0.334225,32.568248,30.48,114.98,-0.299,-0.399,-0.037,on
MK003,DRV03,TRIP004,2026-03-25 18:55:29,0.334117,32.568297,16.67,258.5,-3.322,-0.501,-0.085,on
MK003,DRV01,TRIP009,2026-03-25 18:55:34,0.33502,32.568906,28.36,134.59,0.141,-0.485,0.14,idle
MK004,DRV03,TRIP015,2026-03-25 18:55:39,0.334761,32.568142,6.56,101.97,0.039,-0.434,-0.073,on
MK001,DRV03,TRIP014,2026-03-25 18:55:44,0.334358,32.567609,40.83,109.94,0.282,-0.051,0.188,idle
MK003,DRV01,TRIP016,2026-03-25 18:55:49,0.335002,32.568858,23.71,45.39,-0.011,0.409,0.047,idle
MK004,DRV02,TRIP013,2026-03-25 18:55:54,0.334602,32.568619,11.05,358.76,-0.105,0.361,0.17,idle
MK004,DRV04,TRIP019,2026-03-25 18:55:59,0.334404,32.568085,38.54,136.19,-3.418,-0.233,-0.161,on
MK004,DRV02,TRIP018,2026-03-25 18:56:04,0.335022,32.568322,27.62,132.66,0.202,0.076,-0.039,idle
MK003,DRV04,TRIP006,2026-03-25 18:56:09,0.335337,32.568635,18.89,333.33,0.319,-0.227,-0.027,on
MK003,DRV03,TRIP015,2026-03-25 18:56:14,0.334188,32.568331,42.8,72.34,-0.295,-0.354,-0.177,idle
MK002,DRV03,TRIP012,2026-03-25 18:56:19,0.334008,32.568091,23.37,202.74,0.118,-0.125,0.193,idle
MK002,DRV01,TRIP019,2026-03-25 18:56:24,0.3347,32.568378,18.44,262.15,-0.013,-0.227,0.088,on
MK003,DRV03,TRIP009,2026-03-25 18:56:29,0.335407,32.568736,37.82,231.24,-3.029,-0.599,0.074,on
MK004,DRV04,TRIP016,2026-03-25 18:56:34,0.335132,32.56817,17.57,207.54,-0.327,-0.376,-0.188,idle
MK004,DRV04,TRIP020,2026-03-25 18:56:39,0.334003,32.568199,26.42,54.63,-0.125,-0.119,-0.04,on
MK001,DRV03,TRIP008,2026-03-25 18:56:44,0.334947,32.56809,37.48,29.17,-3.478,-0.84,0.066,on
MK001,DRV01,TRIP003,2026-03-25 18:56:49,0.33483,32.568991,7.11,229.9,-0.028,-0.233,-0.151,on
MK003,DRV02,TRIP009,2026-03-25 18:56:54,0.334587,32.568004,22.98,216.06,0.046,-0.299,-0.132,on
MK003,DRV04,TRIP015,2026-03-25 18:56:59,0.334956,32.568708,42.85,301.2,0.231,-0.321,-0.104,on
MK002,DRV02,TRIP009,2026-03-25 18:57:04,0.334683,32.567698,37.56,88.81,0.009,-0.124,0.194,idle
MK002,DRV02,TRIP020,2026-03-25 18:57:09,0.334377,32.568656,21.53,52.46,-0.318,0.085,-0.152,on
MK001,DRV04,TRIP015,2026-03-25 18:57:14,0.334802,32.568169,6.98,120.61,0.219,-0.022,-0.043,idle
MK003,DRV04,TRIP013,2026-03-25 18:57:19,0.33437,32.568311,21.67,7.09,0.216,0.312,-0.039,idle
MK004,DRV02,TRIP015,2026-03-25 18:57:24,0.334789,32.567982,36.92,114.57,0.44,0.44,0.004,idle
MK003,DRV02,TRIP013,2026-03-25 18:57:29,0.334391,32.567732,39.55,282.49,-0.313,0.076,0.087,on
MK002,DRV02,TRIP017,2026-03-25 18:57:34,0.334196,32.568371,11.27,314.57,-0.248,0.164,0.096,idle
MK003,DRV02,TRIP013,2026-03-25 18:57:39,0.335155,32.568177,6.58,106.82,-0.159,0.298,0.122,idle
MK003,DRV01,TRIP007,2026-03-25 18:57:44,0.334884,32.56826,19.87,173.81,0.313,-0.049,-0.122,idle
MK003,DRV04,TRIP017,2026-03-25 18:57:49,0.335397,32.568886,14.13,217.15,0.046,0.334,0.134,idle
MK004,DRV02,TRIP017,2026-03-25 18:57:54,0.334221,32.568394,5.8,72.14,-0.063,0.425,0.049,on
MK004,DRV02,TRIP016,2026-03-25 18:57:59,0.334256,32.568173,42.31,80.55,0.365,0.333,-0.125,idle
MK002,DRV02,TRIP002,2026-03-25 18:58:04,0.334489,32.568243,18.08,180.45,-0.284,0.239,0.016,on
MK002,DRV01,TRIP007,2026-03-25 18:58:09,0.334502,32.568213,11.42,36.51,-0.048,-0.423,0.01,idle
MK004,DRV02,TRIP001,2026-03-25 18:58:14,0.335099,32.568195,31.96,53.72,-0.104,0.189,0.109,idle
MK003,DRV01,TRIP011,2026-03-25 18:58:19,0.334841,32.568504,38.31,87.84,0.091,-0.229,-0.051,on
MK004,DRV04,TRIP014,2026-03-25 18:58:24,0.334891,32.568207,20.67,79.93,-0.162,-0.281,0.126,idle
MK001,DRV04,TRIP010,2026-03-25 18:58:29,0.33446,32.568225,23.55,36.27,0.438,0.069,0.049,on
MK004,DRV04,TRIP013,2026-03-25 18:58:34,0.334559,32.568137,9.17,161.9,0.266,0.239,-0.054,idle
MK002,DRV03,TRIP017,2026-03-25 18:58:39,0.334736,32.568364,32.37,317.63,-0.281,0.067,-0.003,on
MK003,DRV02,TRIP017,2026-03-25 18:58:44,0.334494,32.568041,30.69,101.9,0.441,0.453,-0.07,on
MK003,DRV02,TRIP012,2026-03-25 18:58:49,0.335153,32.568153,33.34,28.37,-2.896,-0.88,-0.142,on
MK002,DRV03,TRIP008,2026-03-25 18:58:54,0.334475,32.568248,38.4,20.78,0.115,-0.024,-0.157,idle
MK003,DRV04,TRIP012,2026-03-25 18:58:59,0.334664,32.568301,13.36,3.45,-0.148,0.288,0.089,idle
MK002,DRV01,TRIP005,2026-03-25 18:59:04,0.335599,32.568838,17.79,156.91,0.291,0.194,-0.024,idle
MK001,DRV04,TRIP009,2026-03-25 18:59:09,0.335024,32.568559,10.48,1.76,-3.34,-0.824,-0.167,on
MK002,DRV02,TRIP001,2026-03-25 18:59:14,0.334231,32.567882,14.27,51.25,0.111,-0.042,0.062,on
MK003,DRV04,TRIP017,2026-03-25 18:59:19,0.335412,32.568789,34.7,31.25,0.454,-0.298,0.137,on
MK002,DRV03,TRIP012,2026-03-25 18:59:24,0.334635,32.568129,19.15,188.28,0.296,0.211,0.066,idle
MK003,DRV04,TRIP014,2026-03-25 18:59:29,0.334264,32.567852,9.9,328.87,-3.227,-0.721,0.125,on
MK002,DRV03,TRIP009,2026-03-25 18:59:34,0.334582,32.568446,13.65,255.22,-2.674,-0.898,-0.001,idle
MK003,DRV04,TRIP009,2026-03-25 18:59:39,0.334017,32.567716,39.37,212.21,-0.331,0.291,-0.062,on
MK001,DRV04,TRIP005,2026-03-25 18:59:44,0.334936,32.568367,12.01,17.96,-0.117,0.22,0.19,on
MK004,DRV03,TRIP018,2026-03-25 18:59:49,0.33479,32.568039,38.28,140.16,0.261,0.419,0.045,idle
MK003,DRV04,TRIP003,2026-03-25 18:59:54,0.334882,32.568764,27.81,235.55,-0.091,0.322,-0.068,on
MK003,DRV03,TRIP020,2026-03-25 18:59:59,0.33491,32.568601,21.38,218.91,-0.282,-0.245,-0.189,on
MK001,DRV02,TRIP006,2026-03-25 19:00:04,0.334006,32.567905,38.89,300.76,-0.108,0.265,0.053,idle
MK002,DRV03,TRIP016,2026-03-25 19:00:09,0.334617,32.568805,14.61,240.96,-0.083,0.402,-0.098,on
MK003,DRV01,TRIP020,2026-03-25 19:00:14,0.334466,32.568357,9.32,292.58,-0.433,0.089,-0.113,on
MK004,DRV02,TRIP020,2026-03-25 19:00:19,0.335229,32.569263,23.28,231.63,0.114,-0.08,0.082,idle
MK003,DRV04,TRIP005,2026-03-25 19:00:24,0.335276,32.568835,35.96,24.16,0.256,-0.285,0.129,on
MK002,DRV01,TRIP010,2026-03-25 19:00:29,0.334914,32.568613,42.36,100.75,0.486,-0.49,-0.05,on
MK002,DRV04,TRIP010,2026-03-25 19:00:34,0.334368,32.568416,44.3,160.64,-0.114,-0.318,-0.0,idle
MK004,DRV04,TRIP012,2026-03-25 19:00:39,0.334677,32.568439,42.33,136.35,-3.026,-0.931,0.057,idle
MK003,DRV04,TRIP013,2026-03-25 19:00:44,0.335322,32.568883,15.98,97.6,-0.242,0.399,-0.042,on
MK004,DRV02,TRIP001,2026-03-25 19:00:49,0.334454,32.568745,8.67,273.94,-0.319,-0.49,0.151,on
MK003,DRV03,TRIP010,2026-03-25 19:00:54,0.334574,32.568354,22.66,327.66,-0.213,-0.354,0.065,idle
MK003,DRV04,TRIP018,2026-03-25 19:00:59,0.335168,32.568838,15.05,187.4,-0.083,-0.476,-0.167,on
MK002,DRV04,TRIP005,2026-03-25 19:01:04,0.334305,32.568,16.01,133.84,-0.417,0.296,0.125,on
MK003,DRV01,TRIP014,2026-03-25 19:01:09,0.335121,32.569133,22.83,29.32,0.388,0.21,-0.085,on
MK002,DRV01,TRIP003,2026-03-25 19:01:14,0.334911,32.569138,13.18,98.76,-0.024,-0.105,0.121,idle
